review,rating,date,bank,source,sentiment_label,sentiment_score
it's good app.,5,2025-07-03,Commercial Bank of Ethiopia,Google Play,positive,0.9998677968978882
wow,5,2025-07-03,Commercial Bank of Ethiopia,Google Play,positive,0.999592125415802
It is fast and best service. Go a head!,5,2025-07-02,Commercial Bank of Ethiopia,Google Play,positive,0.9993784427642822
"This app is not reliable for transferring money to other banks or money transfer apps. It will take your money but not deliver it, and for confirmation, it takes three days to refund.",2,2025-07-02,Commercial Bank of Ethiopia,Google Play,negative,0.9997637867927552
it is best app,5,2025-07-02,Commercial Bank of Ethiopia,Google Play,positive,0.9997313618659972
"The worst Bank, system and app ever in Ethiopia.",1,2025-07-02,Commercial Bank of Ethiopia,Google Play,negative,0.9997875094413756
please update the security policy. we can't take a SCREENSHOTS!,3,2025-07-02,Commercial Bank of Ethiopia,Google Play,negative,0.9981873631477356
good app,5,2025-07-01,Commercial Bank of Ethiopia,Google Play,positive,0.9998493194580078
very very good,4,2025-07-01,Commercial Bank of Ethiopia,Google Play,positive,0.9998621940612792
"It's a great application, but if you could improve it a bit, for example, by making it so that we can register and use it ourselves from the comfort of our own homes without having to go to a bank branch.",3,2025-07-01,Commercial Bank of Ethiopia,Google Play,positive,0.9990320205688475
its very nice app,5,2025-07-01,Commercial Bank of Ethiopia,Google Play,positive,0.9998563528060912
fast and easy to use,3,2025-07-01,Commercial Bank of Ethiopia,Google Play,positive,0.9995805621147156
I really like this application it's easy to use and reliable,5,2025-07-01,Commercial Bank of Ethiopia,Google Play,positive,0.9997631907463074
best application but is not available strong security .,5,2025-07-01,Commercial Bank of Ethiopia,Google Play,negative,0.9837642312049866
very good thanks for services,1,2025-06-30,Commercial Bank of Ethiopia,Google Play,positive,0.9998341798782348
great,4,2025-06-30,Commercial Bank of Ethiopia,Google Play,positive,0.9998630285263062
Good!,5,2025-06-29,Commercial Bank of Ethiopia,Google Play,positive,0.9998268485069276
I like this app bcz of this is very simple and easy to use,5,2025-06-29,Commercial Bank of Ethiopia,Google Play,positive,0.9989296793937684
this application not working properly and payment service and transfer money please fix dear bank developer it's more boring service now,3,2025-06-29,Commercial Bank of Ethiopia,Google Play,negative,0.9997767806053162
for the frist use the app is perfect but soon it begins to change the speed the massages and cost an arm and leg,1,2025-06-29,Commercial Bank of Ethiopia,Google Play,negative,0.9887598752975464
"trasaction history needs to be more detailed,",3,2025-06-28,Commercial Bank of Ethiopia,Google Play,negative,0.9986841082572936
safe secure fast,5,2025-06-28,Commercial Bank of Ethiopia,Google Play,positive,0.9997405409812928
like,5,2025-06-28,Commercial Bank of Ethiopia,Google Play,positive,0.9910564422607422
atashkabte,1,2025-06-28,Commercial Bank of Ethiopia,Google Play,positive,0.8923488855361938
nice,5,2025-06-27,Commercial Bank of Ethiopia,Google Play,positive,0.9998552799224854
best mobile banking app,5,2025-06-26,Commercial Bank of Ethiopia,Google Play,positive,0.9997095465660096
this app has a problem,1,2025-06-26,Commercial Bank of Ethiopia,Google Play,negative,0.9987542629241944
Best of all,5,2025-06-26,Commercial Bank of Ethiopia,Google Play,positive,0.9997443556785583
excellent services,5,2025-06-26,Commercial Bank of Ethiopia,Google Play,positive,0.9998639822006226
"I'll give 5 stars when the app has the function to see more than just a couple of transactions. Right now, you can not even go back one month and see prior transaction. That is a standard banking function that also CBE should have. Because of that only 1 Start.",1,2025-06-25,Commercial Bank of Ethiopia,Google Play,negative,0.9886451959609984
best of all,5,2025-06-25,Commercial Bank of Ethiopia,Google Play,positive,0.9997443556785583
"The most unreliable banking app i ever used, the transactions are stuck halfway and i can't access my money then when you call the call center they ask that you wait 3-5 business days before they return the money what is the point off having a banking app if the transactions are unreliable and incomplete I'd rate less if i could.",1,2025-06-25,Commercial Bank of Ethiopia,Google Play,negative,0.999692678451538
for no reason my money is gone because the system keeps tell me failed than I tried to many times were my money is nowhere to be gone when I checked my balance I realise the money is gone,1,2025-06-25,Commercial Bank of Ethiopia,Google Play,negative,0.9997031092643738
Although the UI is simple and easy to use. That does not mean anything if information is not consistent throughout the app and most services are down most of the time.,1,2025-06-24,Commercial Bank of Ethiopia,Google Play,negative,0.999237060546875
we would appreciate it if the app can allow to take screensshot.,4,2025-06-24,Commercial Bank of Ethiopia,Google Play,negative,0.9175639152526855
Easy to use and clear.,5,2025-06-24,Commercial Bank of Ethiopia,Google Play,positive,0.9994879961013794
Easy to use,4,2025-06-23,Commercial Bank of Ethiopia,Google Play,positive,0.9988542795181274
Excellence,5,2025-06-23,Commercial Bank of Ethiopia,Google Play,positive,0.999836564064026
the best 👌,5,2025-06-23,Commercial Bank of Ethiopia,Google Play,positive,0.9998503923416138
super 🌟 start,5,2025-06-22,Commercial Bank of Ethiopia,Google Play,positive,0.9052259922027588
😲,5,2025-06-21,Commercial Bank of Ethiopia,Google Play,negative,0.6970565915107727
It is so god,5,2025-06-21,Commercial Bank of Ethiopia,Google Play,positive,0.9943653345108032
it's my life,5,2025-06-21,Commercial Bank of Ethiopia,Google Play,positive,0.9996814727783204
👍,3,2025-06-20,Commercial Bank of Ethiopia,Google Play,negative,0.6970565915107727
My special app and my proud bank of ETHIOPIA. nice to meet you my bank,5,2025-06-19,Commercial Bank of Ethiopia,Google Play,positive,0.9998167157173156
great app,5,2025-06-19,Commercial Bank of Ethiopia,Google Play,positive,0.999821126461029
SUFaa milikesaa,5,2025-06-19,Commercial Bank of Ethiopia,Google Play,negative,0.9896273612976074
"Am not able to make screenshot,",1,2025-06-18,Commercial Bank of Ethiopia,Google Play,negative,0.999790370464325
"Verily, it was very superior competitive to well known apps nowadays functioning in broader to its customers by simplest features that is Telebirr super app, Thus, CBE is my top ultimate choose that optimistically truly relaying to it, as far as concerned I am proudest when rating this by points, as a result of CBE service provisions via ethical principles and practices to customers satisfaction with texistence of constraints and challenges facing from burglary and froudalent hacker. Thank you !",5,2025-06-18,Commercial Bank of Ethiopia,Google Play,positive,0.9983299374580384
thank you,5,2025-06-17,Commercial Bank of Ethiopia,Google Play,positive,0.9998352527618408
setting ላይ mini statment ብታዘጋጁለት ቴሌብር app ላይ አለ የብዙ ቀን transaction አያሳይም የናንተ ። tnx,4,2025-06-17,Commercial Bank of Ethiopia,Google Play,negative,0.9805399775505066
Is too good,5,2025-06-17,Commercial Bank of Ethiopia,Google Play,positive,0.9998205304145812
ሰላም የምኖረው ውጭ ሀገር ነው የንግድ ባንክ አካውንት አለኝ እንዴት ላንቀሳቅሰው,5,2025-06-16,Commercial Bank of Ethiopia,Google Play,negative,0.944585382938385
ይህን ባንክ መጠቀም ያስጠላኛል ገንዘቤን ደጋግመው ያዙኝ ብዬ አስባለሁ ይህም ተስፋ አስቆራጭ ስርቆት አስመስሎ መጣ ማለት በሳምንት ሶስት ጊዜ ገንዘቤን ሰረቁኝ ማለት ይጠየቅልኝ,5,2025-06-16,Commercial Bank of Ethiopia,Google Play,negative,0.9615163207054138
"it makes my life easy, and I feel like it deserves a 4-star.",4,2025-06-16,Commercial Bank of Ethiopia,Google Play,positive,0.9993563294410706
It's best app but Please add(included) water bill payment ?,4,2025-06-16,Commercial Bank of Ethiopia,Google Play,negative,0.9143645167350768
the system works even from wherever I am abroad CBE☆☆☆☆☆,5,2025-06-15,Commercial Bank of Ethiopia,Google Play,positive,0.994903326034546
very nice to use this app,5,2025-06-14,Commercial Bank of Ethiopia,Google Play,positive,0.9996718168258668
good 👍,4,2025-06-14,Commercial Bank of Ethiopia,Google Play,positive,0.9998576641082764
Good service and have lightly internet accessed,3,2025-06-14,Commercial Bank of Ethiopia,Google Play,negative,0.680825412273407
the best mobile banking ever in Ethiopia,5,2025-06-13,Commercial Bank of Ethiopia,Google Play,positive,0.9998283386230468
waw,5,2025-06-13,Commercial Bank of Ethiopia,Google Play,negative,0.7346157431602478
good app fast,5,2025-06-13,Commercial Bank of Ethiopia,Google Play,positive,0.9998340606689452
very good work cbe team well developed,5,2025-06-13,Commercial Bank of Ethiopia,Google Play,positive,0.9998407363891602
Excellent and easy to access and uptodate.,5,2025-06-13,Commercial Bank of Ethiopia,Google Play,positive,0.9998615980148317
Nice,5,2025-06-12,Commercial Bank of Ethiopia,Google Play,positive,0.9998552799224854
Best mobile banking app in Ethiopian banking industry. Keep up CBE,5,2025-06-12,Commercial Bank of Ethiopia,Google Play,positive,0.9997265934944152
it's very helpful app in any way in and out of the county of Ethiopia good luck,5,2025-06-12,Commercial Bank of Ethiopia,Google Play,positive,0.9995100498199464
So bad now and hard to use,5,2025-06-09,Commercial Bank of Ethiopia,Google Play,negative,0.999805748462677
"it is so amazing app. but, it is better to update it to access without any internet fees. just make it to open by free internet service when we open data connection.",5,2025-06-09,Commercial Bank of Ethiopia,Google Play,positive,0.9496427178382874
v.good app,4,2025-06-09,Commercial Bank of Ethiopia,Google Play,positive,0.9952701926231384
very good app,1,2025-06-09,Commercial Bank of Ethiopia,Google Play,positive,0.9998675584793092
Very amazing app indeed. I'm enjoying it,5,2025-06-08,Commercial Bank of Ethiopia,Google Play,positive,0.9998819828033448
Best,5,2025-06-08,Commercial Bank of Ethiopia,Google Play,positive,0.9997941851615906
A great app. It's like carrying a bank in your pocket.,4,2025-06-07,Commercial Bank of Ethiopia,Google Play,positive,0.9992928504943848
More than garrantty bank EBC.,4,2025-06-07,Commercial Bank of Ethiopia,Google Play,positive,0.9971959590911864
really am happy to this app it is Siple to use everything,5,2025-06-07,Commercial Bank of Ethiopia,Google Play,positive,0.9988697171211244
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,Commercial Bank of Ethiopia,Google Play,negative,0.9996840953826904
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,Commercial Bank of Ethiopia,Google Play,negative,0.9964652061462402
what is this app problem???,1,2025-06-05,Commercial Bank of Ethiopia,Google Play,negative,0.9996225833892822
the app is proactive and a good connections.,5,2025-06-05,Commercial Bank of Ethiopia,Google Play,positive,0.9998679161071776
I cannot send to cbebirr app. through this app.,3,2025-06-05,Commercial Bank of Ethiopia,Google Play,negative,0.9953354001045228
not functional,1,2025-06-05,Commercial Bank of Ethiopia,Google Play,negative,0.999778687953949
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,Commercial Bank of Ethiopia,Google Play,negative,0.9905162453651428
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,Commercial Bank of Ethiopia,Google Play,negative,0.9616847634315492
Best Mobile Banking app ever,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,positive,0.9997294545173644
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,Commercial Bank of Ethiopia,Google Play,negative,0.998119294643402
Good,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,positive,0.999816119670868
👌👍,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,negative,0.6970565915107727
very niec,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,positive,0.5192594528198242
best app of finance,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,positive,0.9996503591537476
yetemeta,1,2025-06-03,Commercial Bank of Ethiopia,Google Play,positive,0.6553664803504944
it is not safety,1,2025-06-03,Commercial Bank of Ethiopia,Google Play,negative,0.9997867941856384
NICE bank,5,2025-06-03,Commercial Bank of Ethiopia,Google Play,positive,0.999805510044098
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,Commercial Bank of Ethiopia,Google Play,negative,0.9997958540916444
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,Commercial Bank of Ethiopia,Google Play,positive,0.9997678399086
It's good but try to make it facilitate for your client,4,2025-06-02,Commercial Bank of Ethiopia,Google Play,positive,0.9491764903068542
best app,5,2025-06-01,Commercial Bank of Ethiopia,Google Play,positive,0.999686598777771
Awesome bank,5,2025-06-01,Commercial Bank of Ethiopia,Google Play,positive,0.99984610080719
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,Commercial Bank of Ethiopia,Google Play,negative,0.9983141422271729
Masha alla,5,2025-05-31,Commercial Bank of Ethiopia,Google Play,negative,0.9514626860618592
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,Commercial Bank of Ethiopia,Google Play,negative,0.9991102814674376
better service,5,2025-05-31,Commercial Bank of Ethiopia,Google Play,positive,0.9982219338417052
"it,s good app and time manager 👍",5,2025-05-30,Commercial Bank of Ethiopia,Google Play,positive,0.999837040901184
malkaamuu Jiidhaa Namoo,5,2025-05-30,Commercial Bank of Ethiopia,Google Play,negative,0.9887813329696656
lower system everything,3,2025-05-30,Commercial Bank of Ethiopia,Google Play,negative,0.9993475079536438
Nice!,5,2025-05-30,Commercial Bank of Ethiopia,Google Play,positive,0.999863862991333
Keep it up My CBE,5,2025-05-29,Commercial Bank of Ethiopia,Google Play,positive,0.9996104836463928
yes good,5,2025-05-28,Commercial Bank of Ethiopia,Google Play,positive,0.9998410940170288
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,Commercial Bank of Ethiopia,Google Play,negative,0.9996353387832642
i like everything of this app,5,2025-05-27,Commercial Bank of Ethiopia,Google Play,positive,0.9996908903121948
🤬🤬🤬🤬 network 🛜,1,2025-05-26,Commercial Bank of Ethiopia,Google Play,negative,0.6856130957603455
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,Commercial Bank of Ethiopia,Google Play,positive,0.9982792139053344
good job,5,2025-05-26,Commercial Bank of Ethiopia,Google Play,positive,0.999835729598999
it's awesome!!,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,positive,0.999871015548706
thankyou every one,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,positive,0.99984610080719
Ronaldo 🇵🇹 🥇,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,positive,0.9948286414146424
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,Commercial Bank of Ethiopia,Google Play,positive,0.9998852014541626
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,Commercial Bank of Ethiopia,Google Play,negative,0.9997394680976868
mortuary app,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,negative,0.7924914956092834
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,negative,0.9961044788360596
amazing app I am used this app for one year,4,2025-05-24,Commercial Bank of Ethiopia,Google Play,positive,0.9991408586502076
i love it 😍😘,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,positive,0.9998791217803956
It makes life easy!👌,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,positive,0.9993600249290466
its not fast,1,2025-05-24,Commercial Bank of Ethiopia,Google Play,negative,0.9949808716773988
it is sooo good,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,positive,0.9998735189437866
excellent,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,positive,0.9998434782028198
Fantastic,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,positive,0.9998743534088136
accessible to using,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,positive,0.999116837978363
I like it,4,2025-05-23,Commercial Bank of Ethiopia,Google Play,positive,0.99985933303833
why you change default network?,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,negative,0.9962357878684998
very nice 👍,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,positive,0.999857783317566
nice fast app,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,positive,0.999833345413208
how to I get my money,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,negative,0.9934091567993164
"Very bad, can't even load they need to improve their services.",1,2025-05-22,Commercial Bank of Ethiopia,Google Play,negative,0.999816596508026
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,Commercial Bank of Ethiopia,Google Play,positive,0.9649855494499208
very busy I don't know why... I prefer 889,3,2025-05-22,Commercial Bank of Ethiopia,Google Play,negative,0.9991938471794128
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,Commercial Bank of Ethiopia,Google Play,negative,0.9966771602630616
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,Commercial Bank of Ethiopia,Google Play,negative,0.9986202716827391
hojii bonsaadha,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,positive,0.9568662047386168
user-friendly apps.because this app is easy.,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,positive,0.9554505944252014
Awosome!!!,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,positive,0.6944906711578369
"Very good app,",5,2025-05-22,Commercial Bank of Ethiopia,Google Play,positive,0.9998691082000732
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,negative,0.992516815662384
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,positive,0.9997020363807678
I hate this app 😒,1,2025-05-22,Commercial Bank of Ethiopia,Google Play,negative,0.9996378421783448
trustful,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,positive,0.9998213648796082
I like,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,positive,0.9998149275779724
update issue,4,2025-05-22,Commercial Bank of Ethiopia,Google Play,positive,0.547325611114502
its not working over safari network,1,2025-05-22,Commercial Bank of Ethiopia,Google Play,negative,0.9991377592086792
oldie,1,2025-05-22,Commercial Bank of Ethiopia,Google Play,negative,0.6663157939910889
it doesn't work,1,2025-05-21,Commercial Bank of Ethiopia,Google Play,negative,0.9997813105583192
"This app is good, and we are using it well",1,2025-05-21,Commercial Bank of Ethiopia,Google Play,positive,0.999855637550354
very nice 👌 app for android phone,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,positive,0.9994401335716248
Yes Yes,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,positive,0.9997482895851136
በጣም ከርፋፋ,1,2025-05-21,Commercial Bank of Ethiopia,Google Play,negative,0.7850593328475952
easy to use helpful in my life,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,positive,0.9981144666671752
the best mobile banking app,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,positive,0.9998278617858888
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,Commercial Bank of Ethiopia,Google Play,positive,0.9992597699165344
it's a good application 👍,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,positive,0.9998123049736024
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,Commercial Bank of Ethiopia,Google Play,negative,0.9997513890266418
poor service,1,2025-05-21,Commercial Bank of Ethiopia,Google Play,negative,0.999653458595276
amazing,5,2025-05-20,Commercial Bank of Ethiopia,Google Play,positive,0.999875545501709
it is reliable and easy to use.,5,2025-05-20,Commercial Bank of Ethiopia,Google Play,positive,0.9998389482498168
the most annoying mobile banking app I've ever seen,1,2025-05-20,Commercial Bank of Ethiopia,Google Play,negative,0.9994208812713624
Cbe mobile banking,5,2025-05-20,Commercial Bank of Ethiopia,Google Play,positive,0.8304278254508972
"i can't make Screenshout in this app, please made modification",5,2025-05-20,Commercial Bank of Ethiopia,Google Play,negative,0.9966920614242554
Best app I loved it,5,2025-05-19,Commercial Bank of Ethiopia,Google Play,positive,0.999849796295166
nice app,5,2025-05-19,Commercial Bank of Ethiopia,Google Play,positive,0.9998061060905457
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,negative,0.6448812484741211
well satisfied with this beautiful app,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,positive,0.999858856201172
very good,4,2025-05-17,Commercial Bank of Ethiopia,Google Play,positive,0.9998520612716676
best app.,5,2025-05-17,Commercial Bank of Ethiopia,Google Play,positive,0.999774158000946
"not working,why???",5,2025-05-17,Commercial Bank of Ethiopia,Google Play,negative,0.9995881915092468
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,Commercial Bank of Ethiopia,Google Play,negative,0.9841780066490172
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,Commercial Bank of Ethiopia,Google Play,negative,0.9996201992034912
woxe harimo ribiso,5,2025-05-17,Commercial Bank of Ethiopia,Google Play,negative,0.937437117099762
"Good ,easy to use",5,2025-05-16,Commercial Bank of Ethiopia,Google Play,positive,0.9998592138290404
Good job👍,5,2025-05-14,Commercial Bank of Ethiopia,Google Play,positive,0.9998576641082764
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,Commercial Bank of Ethiopia,Google Play,positive,0.9939066767692566
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,Commercial Bank of Ethiopia,Google Play,negative,0.9474120736122132
customer service is bad nothing is good about this bank,1,2025-05-13,Commercial Bank of Ethiopia,Google Play,negative,0.9996613264083862
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,Commercial Bank of Ethiopia,Google Play,negative,0.992915153503418
fast and simple easy to use 👌,5,2025-05-12,Commercial Bank of Ethiopia,Google Play,positive,0.998494267463684
The fastest transferring app I ever had its so reliable,5,2025-05-11,Commercial Bank of Ethiopia,Google Play,positive,0.9844427704811096
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,Commercial Bank of Ethiopia,Google Play,negative,0.9986681938171388
it's easy and fast,5,2025-05-10,Commercial Bank of Ethiopia,Google Play,positive,0.9995684027671814
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,Commercial Bank of Ethiopia,Google Play,negative,0.9960438013076782
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,Commercial Bank of Ethiopia,Google Play,positive,0.999572217464447
wow best application ever,5,2025-05-09,Commercial Bank of Ethiopia,Google Play,positive,0.9997984766960144
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,Commercial Bank of Ethiopia,Google Play,negative,0.9997019171714784
the pride of Ethiopian bank 🏦,5,2025-05-08,Commercial Bank of Ethiopia,Google Play,positive,0.999118983745575
why the app telling me to turn of developer options please fix it.,1,2025-05-07,Commercial Bank of Ethiopia,Google Play,negative,0.9990994930267334
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,Commercial Bank of Ethiopia,Google Play,positive,0.9976927042007446
amazing apps,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,positive,0.9998716115951538
All service of Mobile Banking,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,positive,0.8924252390861511
needs improvement,1,2025-05-06,Commercial Bank of Ethiopia,Google Play,negative,0.9966731071472168
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,Commercial Bank of Ethiopia,Google Play,negative,0.995843231678009
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,Commercial Bank of Ethiopia,Google Play,negative,0.9984410405158995
good but these week not oky,4,2025-05-06,Commercial Bank of Ethiopia,Google Play,negative,0.9554156064987184
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,positive,0.99980491399765
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,Commercial Bank of Ethiopia,Google Play,negative,0.9975224137306212
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,Commercial Bank of Ethiopia,Google Play,positive,0.8991119265556335
CBE mobilr bankg,5,2025-05-05,Commercial Bank of Ethiopia,Google Play,positive,0.8703051805496216
verygood,3,2025-05-05,Commercial Bank of Ethiopia,Google Play,positive,0.9988996982574464
ممتاز جدا,5,2025-05-04,Commercial Bank of Ethiopia,Google Play,negative,0.8031748533248901
it's very low quality application,1,2025-05-04,Commercial Bank of Ethiopia,Google Play,negative,0.9996594190597534
Very Amazing Apps,5,2025-05-04,Commercial Bank of Ethiopia,Google Play,positive,0.9998774528503418
አዛ,1,2025-05-04,Commercial Bank of Ethiopia,Google Play,negative,0.6970565915107727
wow simple life,5,2025-05-04,Commercial Bank of Ethiopia,Google Play,positive,0.9997076392173768
it's nice,5,2025-05-03,Commercial Bank of Ethiopia,Google Play,positive,0.9998672008514404
